layer,glb_usage,glb_ifmap_read,glb_filter_read,glb_bias_read,glb_psum_read_conv,glb_psum_read_pool,glb_psum_read,glb_psum_write_conv,glb_ofmap_write_pool,glb_psum_write,glb_read,glb_write,glb_access,dram_ifmap_read,dram_filter_read,dram_bias_read,dram_write,dram_access,macs,latency,energy_total,power_total,peak_performance,peak_bandwidth,performance,intensity,m,n,e,p,q,r,t
layer_0,114808,2611200,17280,2560,0,0,0,6553600,0,6553600,2631040,6553600,9184640,2611200,17280,2560,1638400,4269440,44236800,6602960,1035.85874,31375.587312356878,192,8,6.699540811999467,10.361265177634538,8,1,8,1,3,1,8
layer_1,126656,3481600,92160,5120,3276800,0,3276800,6553600,0,6553600,6855680,6553600,13409280,3481600,92160,5120,819200,4398080,117964800,6920320,1251.3684799999999,36165.04670304263,192,8,17.046148154998612,26.82188591385332,16,1,8,2,8,1,8
layer_2,123744,1638400,30720,3840,0,0,0,3276800,0,3276800,1672960,3276800,4949760,1638400,30720,3840,819200,2492160,26214400,3614240,601.2619599999999,33271.83363584045,192,8,7.253087786090575,10.51874678993323,16,1,8,2,16,2,12
layer_3,109888,512000,46080,1280,0,0,0,1638400,0,1638400,559360,1638400,2197760,512000,46080,1280,409600,968960,58982400,1564640,334.12555999999995,42709.57664382861,192,8,37.697106043562734,60.871862615587844,16,1,8,4,8,2,4
layer_4,109888,512000,46080,1280,0,0,0,1638400,0,1638400,559360,1638400,2197760,512000,46080,1280,409600,968960,58982400,1564640,334.12555999999995,42709.57664382861,192,8,37.697106043562734,60.871862615587844,16,1,8,4,8,2,4
layer_5,113088,2457600,30720,5120,3276800,0,3276800,6553600,0,6553600,5770240,6553600,12323840,2457600,30720,5120,819200,3312640,39321600,5970560,865.9022399999999,29005.72944581412,192,8,6.585914889055633,11.870170015455951,16,1,8,2,8,3,8
layer_6,127808,3481600,184320,5120,1638400,0,1638400,3276800,0,3276800,5309440,3276800,8586240,1740800,184320,5120,409600,2339840,117964800,4018560,790.76464,39355.62191431757,192,8,29.354992833253704,50.415754923413566,32,1,8,4,8,2,4
layer_7,126400,844800,42240,2560,0,0,0,1638400,0,1638400,889600,1638400,2528000,844800,42240,2560,409600,1299200,26214400,1853600,338.0121999999999,36470.889080707806,192,8,14.142425550280535,20.177339901477833,32,1,8,4,22,3,8
layer_8,109856,1024000,92160,1280,0,0,0,819200,0,819200,1117440,819200,1936640,256000,92160,1280,204800,554240,58982400,1035360,248.43803999999997,47990.658321743154,192,8,56.968011126564676,106.42032332563511,32,1,8,4,8,4,2
layer_9,109856,1024000,92160,1280,0,0,0,819200,0,819200,1117440,819200,1936640,256000,92160,1280,204800,554240,58982400,1035360,248.43803999999997,47990.658321743154,192,8,56.968011126564676,106.42032332563511,32,1,8,4,8,4,2
layer_10,109856,1024000,92160,1280,0,0,0,819200,0,819200,1117440,819200,1936640,256000,92160,1280,204800,554240,58982400,1035360,248.43803999999997,47990.658321743154,192,8,56.968011126564676,106.42032332563511,32,1,8,4,8,4,2
layer_11,109856,1024000,92160,1280,0,0,0,819200,0,819200,1117440,819200,1936640,256000,92160,1280,204800,554240,58982400,1035360,248.43803999999997,47990.658321743154,192,8,56.968011126564676,106.42032332563511,32,1,8,4,8,4,2
layer_12,126400,1689600,84480,5120,1638400,0,1638400,3276800,0,3276800,3417600,3276800,6694400,1689600,84480,5120,409600,2188800,52428800,3451200,610.4244,35374.61752433936,192,8,15.191469633750579,23.953216374269005,32,1,8,4,22,3,8
layer_13,106048,3481600,368640,10240,2457600,0,2457600,3276800,0,3276800,6318080,3276800,9594880,870400,368640,10240,204800,1454080,117964800,3512320,623.5724799999999,35507.72594752186,192,8,33.58600583090379,81.12676056338029,64,1,8,4,8,2,4
layer_14,126336,1689600,84480,2560,0,0,0,819200,0,819200,1776640,819200,2595840,422400,84480,2560,204800,714240,26214400,1300160,221.56024,34081.99606202313,192,8,20.16244154565592,36.702508960573475,64,1,8,4,22,6,4
layer_15,97056,1024000,184320,2560,409600,0,409600,819200,0,819200,1620480,819200,2439680,128000,184320,2560,102400,417280,58982400,973120,226.06087999999997,46461.048997040445,192,8,60.61164090759618,141.34969325153375,64,1,8,4,8,4,2
layer_16,97056,1024000,184320,2560,409600,0,409600,819200,0,819200,1620480,819200,2439680,128000,184320,2560,102400,417280,58982400,973120,226.06087999999997,46461.048997040445,192,8,60.61164090759618,141.34969325153375,64,1,8,4,8,4,2
layer_17,97056,1024000,184320,2560,409600,0,409600,819200,0,819200,1620480,819200,2439680,128000,184320,2560,102400,417280,58982400,973120,226.06087999999997,46461.048997040445,192,8,60.61164090759618,141.34969325153375,64,1,8,4,8,4,2
layer_18,97056,1024000,184320,2560,409600,0,409600,819200,0,819200,1620480,819200,2439680,128000,184320,2560,102400,417280,58982400,973120,226.06087999999997,46461.048997040445,192,8,60.61164090759618,141.34969325153375,64,1,8,4,8,4,2
layer_19,126336,3379200,168960,5120,819200,0,819200,1638400,0,1638400,4372480,1638400,6010880,844800,168960,5120,204800,1223680,52428800,2472320,410.32048,33193.152989904214,192,8,21.206316334455085,42.84518828451883,64,1,8,4,22,6,4
layer_20,95168,4177920,884736,24576,2867200,0,2867200,3276800,0,3276800,7954432,3276800,11231232,522240,884736,24576,102400,1533952,117964800,3868928,655.999552,33911.17911731621,192,8,30.490306358763977,76.90253671562083,128,1,8,4,8,2,4
layer_21,105216,2027520,202752,6144,409600,0,409600,819200,0,819200,2646016,819200,3465216,253440,202752,6144,102400,564736,26214400,1321664,200.358576,30319.13950898261,192,8,19.83439058641228,46.41885766092475,128,1,8,4,22,6,4
layer_22,90656,1228800,442368,6144,614400,0,614400,819200,0,819200,2291712,819200,3110912,76800,442368,6144,51200,576512,58982400,1189248,264.67363199999994,44511.09137875363,192,8,49.59638359702938,102.30905861456483,128,1,8,4,8,4,2
layer_23,90656,1228800,442368,6144,614400,0,614400,819200,0,819200,2291712,819200,3110912,76800,442368,6144,51200,576512,58982400,1189248,264.67363199999994,44511.09137875363,192,8,49.59638359702938,102.30905861456483,128,1,8,4,8,4,2
layer_24,99680,2211840,304128,12672,1228800,0,1228800,1638400,0,1638400,3757440,1638400,5395840,368640,304128,12672,102400,787840,39321600,1943760,290.65554,29906.52549697493,192,8,20.22965798246697,49.910641754671,128,1,8,4,24,4,6
layer_25,105216,1013760,101376,3072,204800,0,204800,409600,0,409600,1323008,409600,1732608,126720,101376,3072,51200,282368,13107200,660832,100.179288,30319.13950898261,192,8,19.83439058641228,46.41885766092475,128,1,8,4,22,6,4
layer_29,105216,4055040,405504,12288,1228800,0,1228800,1638400,0,1638400,5701632,1638400,7340032,506880,405504,12288,102400,1027072,52428800,2579328,384.31715199999996,29799.789092352734,192,8,20.326534663292144,51.046859421734794,128,1,8,4,22,6,4
