layer,glb_usage,glb_ifmap_read,glb_filter_read,glb_bias_read,glb_psum_read_conv,glb_psum_read_pool,glb_psum_read,glb_psum_write_conv,glb_ofmap_write_pool,glb_psum_write,glb_read,glb_write,glb_access,dram_ifmap_read,dram_filter_read,dram_bias_read,dram_write,dram_access,macs,latency,energy_total,power_total,peak_performance,peak_bandwidth,performance,intensity,m,n,e,p,q,r,t
layer_0,197100,1305600,21600,3200,0,0,0,6553600,0,6553600,1330400,6553600,7884000,1305600,21600,3200,1638400,2968800,44236800,4537150,762.2078875000001,33598.531567173224,256,16,9.749909083896279,14.900565885206143,16,1,8,2,3,1,10
layer_1,253840,3481600,115200,3200,0,0,0,3276800,0,3276800,3600000,3276800,6876800,1740800,115200,3200,819200,2678400,117964800,3375400,841.22145,49844.25253303313,256,16,34.94839130177164,44.043010752688176,32,1,8,4,8,2,5
layer_2,205952,819200,20480,2560,0,0,0,3276800,0,3276800,842240,3276800,4119040,819200,20480,2560,819200,1661440,26214400,2368160,426.49924,36019.46152287007,256,16,11.069522329572326,15.778120184899846,32,1,8,2,16,2,16
layer_3,110480,512000,57600,1600,0,0,0,1638400,0,1638400,571200,1638400,2209600,512000,57600,1600,409600,980800,58982400,1268500,336.537925,53060.76862435948,256,16,46.49775325187229,60.13703099510604,16,1,8,4,8,2,5
layer_4,110480,512000,57600,1600,0,0,0,1638400,0,1638400,571200,1638400,2209600,512000,57600,1600,409600,980800,58982400,1268500,336.537925,53060.76862435948,256,16,46.49775325187229,60.13703099510604,16,1,8,4,8,2,5
layer_5,226944,1228800,30720,2560,0,0,0,3276800,0,3276800,1262080,3276800,4538880,1228800,30720,2560,819200,2081280,39321600,2604320,540.93908,41541.675370154204,256,16,15.098605394114395,18.8929889298893,32,1,8,2,24,2,16
layer_6,210320,3481600,230400,6400,1638400,0,1638400,3276800,0,3276800,5356800,3276800,8633600,870400,230400,6400,409600,1516800,117964800,3042000,626.3860999999999,41182.518080210386,256,16,38.77869822485207,77.77215189873418,64,1,8,4,8,2,5
layer_7,206976,819200,40960,2560,0,0,0,1638400,0,1638400,862720,1638400,2501120,409600,40960,2560,409600,862720,26214400,1304480,250.31011999999998,38376.99619771863,256,16,20.09567030540905,30.385756676557865,64,1,8,4,16,4,8
layer_8,112472,1120000,100800,1280,0,0,0,819200,0,819200,1222080,819200,2041280,280000,100800,1280,204800,586880,58982400,898520,255.97822999999997,56977.74785202333,256,16,65.64394782531274,100.50163576881134,32,1,8,4,7,5,2
layer_9,112472,1120000,100800,1280,0,0,0,819200,0,819200,1222080,819200,2041280,280000,100800,1280,204800,586880,58982400,898520,255.97822999999997,56977.74785202333,256,16,65.64394782531274,100.50163576881134,32,1,8,4,7,5,2
layer_10,112472,1120000,100800,1280,0,0,0,819200,0,819200,1222080,819200,2041280,280000,100800,1280,204800,586880,58982400,898520,255.97822999999997,56977.74785202333,256,16,65.64394782531274,100.50163576881134,32,1,8,4,7,5,2
layer_11,112472,1120000,100800,1280,0,0,0,819200,0,819200,1222080,819200,2041280,280000,100800,1280,204800,586880,58982400,898520,255.97822999999997,56977.74785202333,256,16,65.64394782531274,100.50163576881134,32,1,8,4,7,5,2
layer_12,247872,3276800,81920,2560,0,0,0,1638400,0,1638400,3361280,1638400,4999680,819200,81920,2560,409600,1313280,52428800,2069920,418.0278799999999,40390.72814408286,256,16,25.328901600061837,39.92202729044834,64,1,8,4,16,8,4
layer_13,188560,3046400,403200,11200,2457600,0,2457600,3276800,0,3276800,5918400,3276800,9195200,435200,403200,11200,204800,1054400,117964800,2833100,539.469875,38083.36274752038,256,16,41.63806431117857,111.87860394537178,128,1,8,4,8,2,5
layer_14,206912,1638400,81920,2560,0,0,0,819200,0,819200,1722880,819200,2542080,204800,81920,2560,204800,494080,26214400,994720,176.91428,35570.669133022355,256,16,26.353546726717067,53.056994818652846,128,1,8,4,16,8,4
layer_15,98472,1120000,201600,2560,409600,0,409600,819200,0,819200,1733760,819200,2552960,140000,201600,2560,102400,446560,58982400,880190,233.0264475,52949.12405276133,256,16,67.01098626432929,132.0816911501254,64,1,8,4,7,5,2
layer_16,98472,1120000,201600,2560,409600,0,409600,819200,0,819200,1733760,819200,2552960,140000,201600,2560,102400,446560,58982400,880190,233.0264475,52949.12405276133,256,16,67.01098626432929,132.0816911501254,64,1,8,4,7,5,2
layer_17,98472,1120000,201600,2560,409600,0,409600,819200,0,819200,1733760,819200,2552960,140000,201600,2560,102400,446560,58982400,880190,233.0264475,52949.12405276133,256,16,67.01098626432929,132.0816911501254,64,1,8,4,7,5,2
layer_18,98472,1120000,201600,2560,409600,0,409600,819200,0,819200,1733760,819200,2552960,140000,201600,2560,102400,446560,58982400,880190,233.0264475,52949.12405276133,256,16,67.01098626432929,132.0816911501254,64,1,8,4,7,5,2
layer_19,206912,3276800,163840,5120,819200,0,819200,1638400,0,1638400,4264960,1638400,5903360,409600,163840,5120,204800,783360,52428800,1925440,321.04456,33347.65663952136,256,16,27.229516370284195,66.9281045751634,128,1,8,4,16,8,4
layer_20,177680,3394560,898560,24960,2867200,0,2867200,3276800,0,3276800,7185280,3276800,10462080,261120,898560,24960,102400,1287040,117964800,3120120,598.73843,38379.19246695639,256,16,37.807776623976004,91.65589259075087,256,1,8,4,8,2,5
layer_21,180864,1013760,202752,9216,819200,0,819200,1228800,0,1228800,2044928,1228800,3273728,126720,202752,9216,102400,441088,26214400,1058672,173.64834799999997,32804.938262275755,256,16,24.761588102830718,59.431224608241436,256,1,8,4,22,4,8
layer_22,220048,1802240,147456,2048,614400,0,614400,819200,0,819200,2566144,819200,3385344,56320,147456,2048,51200,257024,58982400,977856,203.467504,41615.02388899797,256,16,60.31808364421755,229.4820717131474,128,1,20,4,8,4,1
layer_23,220048,1802240,147456,2048,614400,0,614400,819200,0,819200,2566144,819200,3385344,56320,147456,2048,51200,257024,58982400,977856,203.467504,41615.02388899797,256,16,60.31808364421755,229.4820717131474,128,1,20,4,8,4,1
layer_24,197696,2949120,294912,6144,409600,0,409600,819200,0,819200,3659776,819200,4478976,184320,294912,6144,102400,587776,39321600,1405824,241.339616,34334.2574888464,256,16,27.970499863425292,66.89895470383276,256,1,8,4,24,8,4
layer_25,98944,506880,101376,4608,409600,0,409600,614400,0,614400,1022464,614400,1636864,126720,101376,4608,51200,283904,13107200,549136,99.50112399999999,36239.155327641965,256,16,23.868768392529354,46.167718665464385,128,1,8,4,22,4,8
layer_29,194880,4055040,405504,9216,819200,0,819200,1228800,0,1228800,5288960,1228800,6517760,253440,405504,9216,102400,770560,52428800,1972640,324.64036,32914.30367426393,256,16,26.577986860248195,68.03986710963456,256,1,8,4,22,8,4
layer_30,228416,4915200,245760,5120,819200,0,819200,1638400,0,1638400,5985280,1638400,7623680,614400,245760,5120,204800,1070080,78643200,2445120,448.15047999999996,36656.726868210964,256,16,32.16332940714566,73.49282296650718,128,1,8,4,24,8,4
layer_31,98472,1120000,201600,2560,409600,0,409600,819200,0,819200,1733760,819200,2552960,140000,201600,2560,102400,446560,58982400,880190,233.0264475,52949.12405276133,256,16,67.01098626432929,132.0816911501254,64,1,8,4,7,5,2
